PointID,X,Y,Z
335,-0.0025,-0.00433013,0.008125
336,-0.0025,-0.00433013,0.00875
337,-0.0025,-0.00433013,0.009375
338,-0.0025,-0.00433013,0.01
339,-0.0025,-0.00433013,0.010625
340,-0.0025,-0.00433013,0.01125
341,-0.0025,-0.00433013,0.011875
342,-0.0012941,-0.00482963,0.000625
343,-0.0012941,-0.00482963,0.00125
344,-0.0012941,-0.00482963,0.001875
345,-0.0012941,-0.00482963,0.0025
346,-0.0012941,-0.00482963,0.003125
347,-0.0012941,-0.00482963,0.00375
348,-0.0012941,-0.00482963,0.004375
349,-0.0012941,-0.00482963,0.005
350,-0.0012941,-0.00482963,0.005625
351,-0.0012941,-0.00482963,0.00625
352,-0.0012941,-0.00482963,0.006875
353,-0.0012941,-0.00482963,0.0075
354,-0.0012941,-0.00482963,0.008125
355,-0.0012941,-0.00482963,0.00875
356,-0.0012941,-0.00482963,0.009375
357,-0.0012941,-0.00482963,0.01
358,-0.0012941,-0.00482963,0.010625
359,-0.0012941,-0.00482963,0.01125
360,0.0012941,-0.00482963,0.000625
361,0.0012941,-0.00482963,0.00125
362,0.0012941,-0.00482963,0.001875
363,0.0012941,-0.00482963,0.0025
364,0.0012941,-0.00482963,0.003125
365,0.0012941,-0.00482963,0.00375
366,0.0012941,-0.00482963,0.004375
367,0.0012941,-0.00482963,0.005
368,0.0012941,-0.00482963,0.005625
369,0.0012941,-0.00482963,0.00625
370,0.0012941,-0.00482963,0.006875
371,0.0012941,-0.00482963,0.0075
372,0.0012941,-0.00482963,0.008125
373,0.0012941,-0.00482963,0.00875
374,0.0012941,-0.00482963,0.009375
375,0.0012941,-0.00482963,0.01
376,0.0012941,-0.00482963,0.010625
377,0.0012941,-0.00482963,0.01125
378,0.0025,-0.00433013,0.000625
379,0.0025,-0.00433013,0.00125
380,0.0025,-0.00433013,0.001875
381,0.0025,-0.00433013,0.0025
382,0.0025,-0.00433013,0.003125
383,0.0025,-0.00433013,0.00375
384,0.0025,-0.00433013,0.004375
385,0.0025,-0.00433013,0.005
386,0.0025,-0.00433013,0.005625
387,0.0025,-0.00433013,0.00625
